"Study","Study.year","Trial","Source","Day","Accommodation","Life.stage","Parasite","Parasite.kind","Pesticide","Pesticide.group","Treatment","Experimental.proportion","Control.proportion","Experimental.sample.size","Control.sample.size"
"Alaux 2010",2010,"Al1","Fig 1 a",10,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","pesticide",0.105860113,0.058601134,270,270
"Alaux 2010",2010,"Al1","Fig 1 a",10,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","parasite",0.283553875,0.058601134,270,270
"Alaux 2010",2010,"Al1","Fig 1 a",10,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","combined",0.403591682,0.058601134,270,270
"Alaux 2010",2010,"Al2","Fig 1 a",10,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","pesticide",0.166666667,0.05988024,270,270
"Alaux 2010",2010,"Al2","Fig 1 a",10,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","parasite",0.284431138,0.05988024,270,270
"Alaux 2010",2010,"Al2","Fig 1 a",10,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","combined",0.459081836,0.05988024,270,270
"Alaux 2010",2010,"Al3","Fig 1 a",10,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","pesticide",0.182297552,0.061770245,270,270
"Alaux 2010",2010,"Al3","Fig 1 a",10,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","parasite",0.286252354,0.061770245,270,270
"Alaux 2010",2010,"Al3","Fig 1 a",10,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","combined",0.703578154,0.061770245,270,270
"Aufauvre 2012",2012,"Au1","Fig 1 a",22,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","pesticide",0.319796954,0.246192893,150,150
"Aufauvre 2012",2012,"Au1","Fig 1 a",22,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","parasite",0.390862944,0.246192893,150,150
"Aufauvre 2012",2012,"Au1","Fig 1 a",22,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","combined",0.842639594,0.246192893,150,150
"Aufauvre 2012",2012,"Au2","Fig 1 b",16,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","pesticide",0.299528302,0.240566038,150,150
"Aufauvre 2012",2012,"Au2","Fig 1 b",16,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","parasite",0.389150943,0.240566038,150,150
"Aufauvre 2012",2012,"Au2","Fig 1 b",16,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","combined",0.813679245,0.240566038,150,150
"Aufauvre 2012",2012,"Au3","Fig 1 c",16,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","pesticide",0.351941748,0.283980583,150,150
"Aufauvre 2012",2012,"Au3","Fig 1 c",16,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","parasite",0.274271845,0.283980583,150,150
"Aufauvre 2012",2012,"Au3","Fig 1 c",16,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","combined",0.67961165,0.283980583,150,150
"Aufauvre 2012",2012,"Au4","Fig 1 d",16,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","pesticide",0.311881188,0.247524752,150,150
"Aufauvre 2012",2012,"Au4","Fig 1 d",16,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","parasite",0.227722772,0.247524752,150,150
"Aufauvre 2012",2012,"Au4","Fig 1 d",16,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","combined",0.72029703,0.247524752,150,150
"Aufauvre 2014",2014,"Auf1","SI_2_B",7,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","pesticide",0.262023217,0.185737977,140,140
"Aufauvre 2014",2014,"Auf1","SI_2_B",7,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","parasite",0.509121061,0.185737977,140,140
"Aufauvre 2014",2014,"Auf1","SI_2_B",7,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","combined",0.699834163,0.185737977,140,140
