"Study","Study.year","Trial","Source","Day","Accommodation","Life.stage","Parasite","Parasite.kind","Pesticide","Pesticide.family","Treatment","Experimental.proportion","Control.proportion","Experimental.sample.size","Control.sample.size","Experimental.died","Experimental.survived","Control.died","Control.survived","lRR","vv"
"Alaux et al 2010",2010,"Al1","Fig 1 a",10,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","combined",0.403591682,0.058601134,270,270,108.96975414,161.03024586,15.82230618,254.17769382,1.92964963082114,0.0649713627807493
"Alaux et al 2010",2010,"Al2","Fig 1 a",10,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","combined",0.459081836,0.05988024,270,270,123.95209572,146.04790428,16.1676648,253.8323352,2.036881918548,0.0625120768056237
"Alaux et al 2010",2010,"Al3","Fig 1 a",10,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","combined",0.703578154,0.061770245,270,270,189.96610158,80.03389842,16.67796615,253.32203385,2.43275718746332,0.0578160390891291
"Aufauvre et al 2012",2012,"Au1","Fig 1 a",22,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","combined",0.842639594,0.246192893,150,150,126.3959391,23.6040609,36.92893395,113.07106605,1.23042399215041,0.0216573510969496
"Aufauvre et al 2012",2012,"Au2","Fig 1 b",16,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","combined",0.813679245,0.240566038,150,150,122.05188675,27.94811325,36.0849057,113.9150943,1.21857160230122,0.0225723216547166
"Aufauvre et al 2012",2012,"Au3","Fig 1 c",16,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","combined",0.67961165,0.283980583,150,150,101.9417475,48.0582525,42.59708745,107.40291255,0.872615665981994,0.0199519739196538
"Aufauvre et al 2012",2012,"Au4","Fig 1 d",16,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","combined",0.72029703,0.247524752,150,150,108.0445545,41.9554455,37.1287128,112.8712872,1.06815308351577,0.0228554410559136
"Aufauvre et al 2014",2014,"Auf1","SI_2_B",7,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","combined",0.699834163,0.185737977,140,140,97.97678282,42.02321718,26.00331678,113.99668322,1.32650644225611,0.0343774179768526
"Aufauvre et al 2014",2014,"Auf2","Fig 1",25,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","combined",0.651581485,0.198526379,165,165,107.510945025,57.489054975,32.756852535,132.243147465,1.18848047866702,0.0277081299917527
"Aufauvre et al 2014",2014,"Auf3","SI_2_B",12,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","combined",0.691764706,0.190588235,140,140,96.84705884,43.15294116,26.6823529,113.3176471,1.28913061437952,0.0335177987099334
"Coulon et al 2018",2018,"Co1","Fig 4",10,"Enclosures","Adults","CBPV","Virus","Thiamethoxam","Neonicotinoid","combined",0.422222222,0.044444444,270,270,113.99999994,156.00000006,11.99999988,258.00000012,2.25129180808018,0.0846978565884375
"Coulon et al 2018",2018,"Co2","Fig 4",10,"Enclosures","Adults","CBPV","Virus","Thiamethoxam","Neonicotinoid","combined",0.955555556,0.044444444,270,270,258.00000012,11.99999988,11.99999988,258.00000012,3.06805294559873,0.0798018957497045
"Diao et al 2018",2018,"Di1","Fig 5 a",4,"Enclosures","Adults","CBPV","Virus","Imidacloprid","Neonicotinoid","combined",0.525606469,0.032345013,90,90,47.30458221,42.69541779,2.91105117,87.08894883,2.78809292352062,0.342435902502904
"Diao et al 2018",2018,"Di2","Fig 5 a",4,"Enclosures","Adults","CBPV","Virus","Imidacloprid","Neonicotinoid","combined",0.598382749,0.032345013,90,90,53.85444741,36.14555259,2.91105117,87.08894883,2.91777074628923,0.339864869941884
"Diao et al 2018",2018,"Di3","Fig 5 a",4,"Enclosures","Adults","CBPV","Virus","Imidacloprid","Neonicotinoid","combined",0.781671159,0.032345013,90,90,70.35040431,19.64959569,2.91105117,87.08894883,3.18497428790459,0.335510860750707
"Doublet et al 2015",2015,"Do1","Fig 6 a",25,"Enclosures","Adults","BQCV","Virus","Thiacloprid","Neonicotinoid","combined",0.632231405,0.512396694,120,120,75.8677686,44.1322314,61.48760328,58.51239672,0.210156356272113,0.0127776020862173
"Doublet et al 2015",2015,"Do2","Fig 6 b",25,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","combined",0.941787942,0.513513514,120,120,113.01455304,6.98544695999999,61.62162168,58.37837832,0.606503788132854,0.00840982144578383
"Doublet et al 2015",2015,"Do3","Fig 6 d",25,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","combined",0.94335512,0.511982571,120,120,113.2026144,6.7973856,61.43790852,58.56209148,0.611152213664365,0.00844364731502146
"Doublet et al 2015",2015,"Do4","Fig 1",11,"Enclosures","Immatures","BQCV","Virus","Thiacloprid","Neonicotinoid","combined",0.162100457,0.102739726,48,48,7.780821936,40.219178064,4.931506848,43.068493152,0.456017389875691,0.289632237625263
"Doublet et al 2015",2015,"Do5","Fig 1",11,"Enclosures","Immatures","BQCV","Virus","Thiacloprid","Neonicotinoid","combined",0.310502283,0.102739726,48,48,14.904109584,33.095890416,4.931506848,43.068493152,1.10599239589416,0.228206699423173
"Doublet et al 2015",2015,"Do6","Fig 1",11,"Enclosures","Immatures","BQCV","Virus","Thiacloprid","Neonicotinoid","combined",0.915525114,0.102739726,48,48,43.945205472,4.054794528,4.931506848,43.068493152,2.18729893763334,0.183866722141613
"Fine et al 2017",2017,"Fi1","Fig 3",20,"Enclosures","Immatures","Exogenous viruses","Virus","Oss","Non-neonicotinoid","combined",0.676724138,0.245689655,216,216,146.172413808,69.827586192,53.06896548,162.93103452,1.01319453831742,0.0164253817021833
"Garrido et al 2016",2016,"Ge1","Fig 1",12,"Enclosures","Adults","Nosema ceranae","Nosema","Tau-fluvalinate","Non-neonicotinoid","combined",0.286764706,0.239130435,200,200,57.3529412,142.6470588,47.826087,152.173913,0.181652883585484,0.0283449883188269
"Garrido et al 2016",2016,"Ge2","Fig 1",12,"Enclosures","Adults","Nosema ceranae","Nosema","Coumaphos","Non-neonicotinoid","combined",0.3,0.239130435,200,200,60,140,47.826087,152.173913,0.226773318455698,0.0275757575567493
"Grassl et al 2018",2018,"Gra1","Fig 2",18,"Hive","Adults","Nosema apis","Nosema","Thiamethoxam","Neonicotinoid","combined",0.773417722,0.641561181,400,400,309.3670888,90.6329112,256.6244724,143.3755276,0.186914742021626,0.00212915038455315
"Gregorc et al 2016",2016,"Gre1","Fig 2",33,"Enclosures","Adults","Nosema ceranae","Nosema","Thiamethoxam","Neonicotinoid","combined",0.937007874,0.996062992,75,75,70.27559055,4.72440945,74.7047244,0.295275599999997,-0.0611188149463701,0.000949059467615752
"Gregorc et al 2016",2016,"Gre2","Fig 2",33,"Enclosures","Adults","Nosema ceranae","Nosema","Thiamethoxam","Neonicotinoid","combined",0.996062992,0.996062992,75,75,74.7047244,0.295275599999997,74.7047244,0.295275599999997,0,0.000105401847918466
"Gregorc et al 2016",2016,"Gre3","Fig 3",8,"Enclosures","Adults","Nosema ceranae","Nosema","Thiamethoxam","Neonicotinoid","combined",0.801742919,0.39869281,75,75,60.130718925,14.869281075,29.90196075,45.09803925,0.698596785988638,0.0234063911132277
"Gregorc et al 2016",2016,"Gre4","Fig 3",8,"Enclosures","Adults","Nosema ceranae","Nosema","Thiamethoxam","Neonicotinoid","combined",0.732026144,0.39869281,75,75,54.9019608,20.0980392,29.90196075,45.09803925,0.607625008555039,0.0249902420316114
"Papach et al 2017",2017,"Pa1","Fig 3",19,"Enclosures","Immatures","American foulbrood","Other","Thiamethoxam","Neonicotinoid","combined",0.42012848,0.178265525,96,96,40.33233408,55.66766592,17.1134904,78.8865096,0.857286416984102,0.0623941026753623
"Papach et al 2017",2017,"Pa2","Fig 4",19,"Enclosures","Immatures","American foulbrood","Other","Thiamethoxam","Neonicotinoid","combined",0.41686747,0.175903614,96,96,40.01927712,55.98072288,16.886746944,79.113253056,0.862832156241145,0.0633726609540442
"Retschnig et al 2014",2014,"Re1","Fig 1",14,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","combined",0.408551069,0.026128266,80,80,32.68408552,47.31591448,2.09026128,77.90973872,2.74959920557269,0.484005021741817
"Retschnig et al 2014",2014,"Re2","Fig 1",14,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","combined",0.786223278,0.026128266,80,80,62.89786224,17.10213776,2.09026128,77.90973872,3.40422310396622,0.469307883056935
"Retschnig et al 2015",2015,"Ret1","Fig 1",14,"Hive","Adults","Nosema ceranae","Nosema","Thiacloprid and tau-fluvalinate","Neonicotinoid","combined",0.541076487,0.439093484,594,594,321.399433278,272.600566722,260.821529496,333.178470504,0.208848311616253,0.0035784291197668
"Retschnig et al 2015",2015,"Ret2","Fig 2",11,"Hive","Adults","Nosema ceranae","Nosema","Thiacloprid and tau-fluvalinate","Neonicotinoid","combined",0.603399433,0.575070822,594,594,358.419263202,235.580736798,341.592068268,252.407931732,0.0480861851409835,0.00235049368891533
"Straub et al 2019",2019,"St1","SI",23,"Enclosures","Adults","Varroa","Other","Thiamethoxam and clothianidin","Neonicotinoid","combined",0.873646209,0.537906137,277,277,241.999999893,35.000000107,148.999999949,128.000000051,0.48499142011136,0.00362342419855789
"Straub et al 2019",2019,"St2","SI",17,"Enclosures","Adults","Varroa","Other","Thiamethoxam and clothianidin","Neonicotinoid","combined",0.876106195,0.433224756,226,307,198.00000007,27.99999993,133.000000092,173.999999908,0.704230650449499,0.00488719428470979
"Vidau et al 2011",2011,"Vi1","Fig 3 A",10,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","combined",0.823343849,0.100946372,150,150,123.50157735,26.49842265,15.1419558,134.8580442,2.09878450740755,0.0608053960658774
"Vidau et al 2011",2011,"Vi2","Fig 3 A",10,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","combined",0.706624606,0.100946372,150,150,105.9936909,44.0063091,15.1419558,134.8580442,1.94591015188567,0.06214285729541
"Alaux et al 2010",2010,"Al1","Fig 1 a",10,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","parasite",0.283553875,0.058601134,270,270,76.55954625,193.44045375,15.82230618,254.17769382,1.5766480924552,0.0688562328199674
"Alaux et al 2010",2010,"Al2","Fig 1 a",10,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","parasite",0.284431138,0.05988024,270,270,76.79640726,193.20359274,16.1676648,253.8323352,1.55814461101497,0.0674658864321461
"Alaux et al 2010",2010,"Al3","Fig 1 a",10,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","parasite",0.286252354,0.061770245,270,270,77.28813558,192.71186442,16.67796615,253.32203385,1.53345200238878,0.065490538505867
"Aufauvre et al 2012",2012,"Au1","Fig 1 a",22,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","parasite",0.390862944,0.246192893,150,150,58.6294416,91.3705584,36.92893395,113.07106605,0.462241625123528,0.0308019815748275
"Aufauvre et al 2012",2012,"Au2","Fig 1 b",16,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","parasite",0.389150943,0.240566038,150,150,58.37264145,91.62735855,36.0849057,113.9150943,0.480972658500088,0.0315103980856469
"Aufauvre et al 2012",2012,"Au3","Fig 1 c",16,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","parasite",0.274271845,0.283980583,150,150,41.14077675,108.85922325,42.59708745,107.40291255,-0.0347861165216911,0.0344492347337755
"Aufauvre et al 2012",2012,"Au4","Fig 1 d",16,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","parasite",0.227722772,0.247524752,150,150,34.1584158,115.8415842,37.1287128,112.8712872,-0.0833816082364424,0.0428753624061921
"Aufauvre et al 2014",2014,"Auf1","SI_2_B",7,"Enclosures","Adults","Nosema ceranae","Nosema","Imidacloprid","Neonicotinoid","parasite",0.509121061,0.185737977,140,140,71.27694854,68.72305146,26.00331678,113.99668322,1.00834887441562,0.0382006996259082
"Aufauvre et al 2014",2014,"Auf2","Fig 1",25,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","parasite",0.459376289,0.198526379,165,165,75.797087685,89.202912315,32.756852535,132.243147465,0.838947692963974,0.0315998704532319
"Aufauvre et al 2014",2014,"Auf3","SI_2_B",12,"Enclosures","Adults","Nosema ceranae","Nosema","Fipronil","Non-neonicotinoid","parasite",0.515294118,0.190588235,140,140,72.14117652,67.85882348,26.6823529,113.3176471,0.994622577372204,0.0370539489744371
"Coulon et al 2018",2018,"Co1","Fig 4",10,"Enclosures","Adults","CBPV","Virus","Thiamethoxam","Neonicotinoid","parasite",0.304761905,0.044444444,270,270,82.28571435,187.71428565,11.99999988,258.00000012,1.92529087263383,0.0880787045275427
"Coulon et al 2018",2018,"Co2","Fig 4",10,"Enclosures","Adults","CBPV","Virus","Thiamethoxam","Neonicotinoid","parasite",0.304761905,0.044444444,270,270,82.28571435,187.71428565,11.99999988,258.00000012,1.92529087263383,0.0880787045275427
"Diao et al 2018",2018,"Di1","Fig 5 a",4,"Enclosures","Adults","CBPV","Virus","Imidacloprid","Neonicotinoid","parasite",0.067385445,0.032345013,90,90,6.06469005,83.93530995,2.91105117,87.08894883,0.733969193630201,0.486185189625506
"Diao et al 2018",2018,"Di2","Fig 5 a",4,"Enclosures","Adults","CBPV","Virus","Imidacloprid","Neonicotinoid","parasite",0.067385445,0.032345013,90,90,6.06469005,83.93530995,2.91105117,87.08894883,0.733969193630201,0.486185189625506
"Diao et al 2018",2018,"Di3","Fig 5 a",4,"Enclosures","Adults","CBPV","Virus","Imidacloprid","Neonicotinoid","parasite",0.067385445,0.032345013,90,90,6.06469005,83.93530995,2.91105117,87.08894883,0.733969193630201,0.486185189625506
"Doublet et al 2015",2015,"Do1","Fig 6 a",25,"Enclosures","Adults","BQCV","Virus","Thiacloprid","Neonicotinoid","parasite",0.493801653,0.512396694,120,120,59.25619836,60.74380164,61.48760328,58.51239672,-0.0369651935965434,0.016472645884284
"Doublet et al 2015",2015,"Do2","Fig 6 b",25,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","parasite",0.638253638,0.513513514,120,120,76.59043656,43.40956344,61.62162168,58.37837832,0.217459409614457,0.0126178638677505
"Doublet et al 2015",2015,"Do3","Fig 6 d",25,"Enclosures","Adults","Nosema ceranae","Nosema","Thiacloprid","Neonicotinoid","parasite",0.736383442,0.511982571,120,120,88.36601304,31.63398696,61.43790852,58.56209148,0.36346038059919,0.0109264971232718
"Doublet et al 2015",2015,"Do4","Fig 1",11,"Enclosures","Immatures","BQCV","Virus","Thiacloprid","Neonicotinoid","parasite",0.063926941,0.102739726,48,48,3.068493168,44.931506832,4.931506848,43.068493152,-0.474457973685592,0.487003966469076
"Doublet et al 2015",2015,"Do5","Fig 1",11,"Enclosures","Immatures","BQCV","Virus","Thiacloprid","Neonicotinoid","parasite",0.246575342,0.102739726,48,48,11.835616416,36.164383584,4.931506848,43.068493152,0.875468735731678,0.24560185206552
